publisher,concerns,stratum,class,route_kind,route_value,evidence_url,quote,http_status,evidence_grade,machine_blocked,verified_here,note
Cureus (Part of Springer Nature as of December 2022),57,census,A,dedicated_email,info@cureus.com,https://cureus.com/author_guide/policies-and-procedures/plagiarism-misconduct-and-ethics,Any complaints or tips regarding the above should be directed to info@cureus.com.,403,source_read,True,False,"The page's raw HTML exposes the address only as a Cloudflare email-obfuscation link (cdn-cgi/l/email-protection#<hash>); the plaintext address 'info@cureus.com' was recovered by decoding that standard, publicly-documented obfuscation scheme (the same decoding a real browser performs automatically for a human reader). The same page also states just above: 'If, for any reason, you are dissatisfied with the performance or actions of the journal or its representatives, including concerns related to scientific misconduct, research plagiarism, or duplicate publication, please contact us at support@cureus.com' -- explicitly addressed to 'all readers, authors, reviewers and users.' Cureus's separate Research Integrity page (https://www.cureus.com/research_integrity) also invites integrity-related contact via a similarly obfuscated email."
Spandidos,47,census,B,generic_email,support@spandidos-publications.com,https://www.spandidos-publications.com/pages/or/editorialPol,How can we help? Help Live Chat Contact Email to our Support Team,200,source_read,False,False,"The page's own Misconduct and Corrections-and-retractions sections instruct only authors to notify the Editor-in-Chief (no address given, mailto: not present); the only address findable anywhere on the page/site is the generic support widget (mailto:support@spandidos-publications.com), which is a general help-desk contact, not one dedicated to research-integrity or ethics concerns."
Taylor and Francis - Dove Press,45,census,B,generic_form,https://www.dovepress.com/contact,https://www.dovepress.com/editorial-policies/corrections-retractions,"If, after reading the guidance, you believe a correction is necessary for your article, please contact the journal's editorial team, or contact us",200,source_read,False,False,"The linked 'contact us' page (dovepress.com/contact) is a general enquiry form with a dropdown ('Submission help', 'General Inquiries', 'Reprints', etc.) and no dedicated research-integrity/ethics-concern option, so this is a generic channel, not a dedicated one."
Springer - Biomed Central (BMC),40,census,A,dedicated_email,ethics.reporting@springernature.com,https://www.biomedcentral.com/getpublished/editorial-policies,please approach the editorial and publishing management team by email to ethics.reporting@springernature.com,200,source_read,False,False,
American Association for Cancer Research,38,census,unresolved,none,,https://aacrjournals.org/pages/editorial-policies,,"403 (curl, default/browser/mobile/a crawler User-Agents); 403 (a fetch tool); Cloudflare interactive challenge returned via a public translation proxy fetch; Cloudflare challenge also returned via public reader proxy (3 attempts)",unresolved,True,True,"Search-result snippets describe general misconduct-screening practices (plagiarism/image-duplication screening, COPE membership, institution notification on retraction) but none of the snippets returned contained a quotable, verbatim sentence naming a specific route (an email address or form) for a stranger to raise a concern, so no class is asserted rather than guessed."
American Heart Association,37,census,B,generic_email,circ@circulationjournal.org,https://www.ahajournals.org/circ/about,"Editorial Office Address: Circulation 7272 Greenville Avenue Dallas, TX 75231 E-mail: circ@circulationjournal.org",403,source_read,True,False,"Could not directly read ahajournals.org/integrity ('Research Ethics & Publication Integrity') or ahajournals.org/policies (which a snippet confirms has a 'Publication Ethics and Research Integrity' section) -- every fetch path was blocked. The only verifiable route is the standard per-journal editorial-office email shown on each journal's About page (here, Circulation); this is a generic editorial contact, not an address specifically named for misconduct/integrity, and the dedicated ethics/integrity pages that would state the intended route for readers could not be confirmed directly."
American Association for the Advancement of Science (AAAS),33,census,A,dedicated_email,science_data@aaas.org,https://www.science.org/content/page/science-journals-editorial-policies,Readers with concerns regarding the integrity of a paper published in a Science journal should contact science_data@aaas.org.,403,snippet_only,True,False,"Page could not be rendered directly by either method; the quote is taken from web-search snippets of this page's own text, corroborated by a second independent search returning the same sentence and email address."
American Society for Biochemistry and Molecular Biology (ASBMB),32,census,B,generic_form,https://www.asbmb.org/contact,https://www.asbmb.org/journals/editorial-policies,"When an allegation of a suspected violation is received for a published article, ASBMB shall first contact the corresponding author",200,source_read,False,False,"The editorial-policies page describes ASBMB's internal handling of allegations but gives no direct address for an outside party to submit one; the site's general contact form (asbmb.org/contact) offers 'Journals (manuscript submissions, policies, etc.)' as one of five generic dropdown reasons, with no dedicated ethics/integrity option."
The Company of Biologists,31,census,A,dedicated_email,"dev@biologists.com (and the parallel per-journal addresses jcs@biologists.com, jeb@biologists.com, dmm@biologists.com, bio@biologists.com)",https://www.biologists.com/publishing-policies/,Contacts for complaints and appeals Development: dev@biologists.com Journal of Cell Science: jcs@biologists.com,200,source_read,False,False,"The page's 'Complaint about publication ethics' section names these same per-journal addresses as the contacts for complaints and appeals (an in-house Ethics Coordinator is also named but no separate address is given for that role), so they are treated as dedicated ethics/complaint routes rather than plain general-enquiry addresses."
Frontiers,29,census,A,dedicated_email,research.integrity@frontiersin.org,https://www.frontiersin.org/about/research-integrity,"If you have concerns about any misconduct, either during review or post-publication, please contact us.",200 (curl with browser User-Agent),source_read,False,False,"The linked call-to-action text ""Email the research integrity team"" uses a Cloudflare-obfuscated mailto link (data-cfemail hex), decoded programmatically to research.integrity@frontiersin.org."
Royal Society Publishing,25,census,A,dedicated_email,publishing@royalsociety.org,https://royalsociety.org/journals/ethics-policies,"Complaints against a journal, its staff, editorial board or publisher should be directed to the editorial office or alternatively publishing@royalsociety.org.",403,verified_here,False,True,"This is the Royal Society's 'Journal policies' hub page, i.e. the load-bearing research-integrity/publication-ethics page itself. A second Royal Society Publishing page (Information for Readers) makes the article-specific scope explicit: 'Concerns about individual articles or complaints against a journal, its staff, editorial board or publisher should be directed to the editorial office' -- confirmed via search-engine index snippet."
American Society for Microbiology,22,census,A,dedicated_form,https://www.ethcomp.com/asm,https://asm.org/asm-ethics,Report an ethical concern.,200,source_read,True,False,"The load-bearing route was confirmed by direct fetch of asm.org (the parent society's own domain, which hosts ASM's org-wide Ethics Program page explicitly covering 'publishing ethics, scientific integrity and professional conduct'); its 'Report an ethical concern' link leads to a dedicated intake form on a third-party compliance platform (ethcomp.com/asm), reached directly from the publisher's page and confirmed live (curl 200). A separately reported address, journalsethics@asm.org, appears in search results tied to journals.asm.org but could not be verified against directly-fetched page text because that subdomain blocked every fetch attempt."
Hindawi,22,census,A,dedicated_form,https://www.wiley.com/en-us/network/publishing/research-publishing/research-integrity/contact-the-research-integrity-team,https://www.wiley.com/en-us/network/publishing/research-publishing/research-integrity/contact-the-research-integrity-team,Integrity and ethics concerns and questions about these policies can be submitted to Wiley's Research Integrity Team using this form,403 (hindawi.com direct); 200 (Wiley research-integrity contact form),source_read,True,False,"The Hindawi brand/imprint was retired by Wiley in 2023-2024 after a mass-retraction crisis; its surviving journals were folded into the Wiley Online Library platform (confirmed via web search of secondary sources, e.g. Retraction Watch and Wikipedia's 'Hindawi (publisher)' article), and the working route for raising a concern about a formerly-Hindawi article is now Wiley's own Research Integrity Team form. hindawi.com itself is not independently reachable to confirm this from the imprint's own domain due to the Cloudflare challenge."
MDPI,18,census,A,dedicated_form,https://www.mdpi.com/about/ethics_contactform,https://www.mdpi.com/ethics,"Should you have any concerns about a published manuscript, we encourage you to use this form",403,source_read,True,False,"Page content came from a fetch tool's rendering a fetch tool, not a direct 200 fetch, because MDPI's servers return 403 to this session's direct HTTP client for both the ethics page and the form URL. The quoted text and the form URL were both present in the fetched page content."
Cellular Physiol Biochem Press,17,census,B,generic_email,editor@cellphysiolbiochem.com,https://cellphysiolbiochem.com/ethics.html,Complaints about articles will initially be handled by the editorial team.,"200 (curl, default settings)",source_read,False,False,"The ethics page names no address itself; the only address that reaches 'the editorial team' is the Editor-in-Chief's general address (editor@cellphysiolbiochem.com), listed on the separate Contact/Legal page one click away, not a channel specifically labeled for ethics/integrity concerns."
American Chemical Society (ACS),16,census,A,dedicated_email,PIO@acs.org,https://researcher-resources.acs.org/publish/publishing_integrity,"To contact the ACS Publishing Integrity Office, please email PIO@acs.org.",200,source_read,True,False,"The main 'Publishing Integrity & Ethics' page (pubs.acs.org/page/authors/integrity.htm) is blocked to direct fetch (403) but carries the identical text, confirmed via a search-engine index snippet: 'For ethics concerns related to ACS journal content, contact the Editor-in-Chief of the relevant journal. For concerns about editor or reviewer conduct, contact the ACS Publications Ombudsperson.' The Ombudsperson's own page (researcher-resources.acs.org/publish/ombudsperson, HTTP 200) additionally lists a named individual's direct email for peer-review-conduct concerns."
American Diabetes Association,16,census,A,dedicated_email,esp@diabetes.org,https://diabetesjournals.org/journals/pages/ada-journal-policies,Any individual may report concerns related to possible misconduct involving ADA scientific programs or publications by email to esp@diabetes.org.,403,snippet_only,True,False,The specific esp@diabetes.org sentence was confirmed via a web-search snippet of this same page rather than in the one successful a fetch tool render (which surfaced adjacent editorial/production contacts instead); the page's Panel on Ethical Scientific Programs is nonetheless independently corroborated as the ADA's misconduct-reporting body across both the a fetch tool render and the search results.
BMJ Publishing,16,census,A,dedicated_form,https://bmjgroup.com/publishing-and-events/#integrity,https://bmjgroup.com/publishing-and-events/,Get help with a research integrity issue,200,source_read,False,False,"The button opens a modal titled 'Contact us' with a request form; it is reached directly from, and specifically labelled on, the Research Integrity section of BMJ Group's own publishing page, so it is treated as a dedicated route rather than the site's general support contact."
Cambridge University Press,16,census,A,dedicated_email,publishingethics@cambridge.org,https://www.cambridge.org/core/services/publishing-ethics/core-editorial-policies-journals,should raise their concern with the relevant editor or email publishingethics@cambridge.org,200,source_read,False,False,
American Medical Association,14,census,B,generic_email,jamams@jamanetwork.org,https://jamanetwork.com/journals/jama/pages/contact-us,"Customer Service, Technical Support, Editorial, JAMA Network Media Relations, Advertising, Reprints & Permissions","403 (curl, all User-Agents tried, including on the bare homepage); fetch tool returned rendered content (no page-level error) for the Contact Us page, but 403 for the Instructions for Authors pages of JAMA and JAMA Network Open",source_read,True,False,"The above heading list (read via fetch tool) shows no heading for ethics/research-integrity/complaints among JAMA's contact categories -- only Customer Service, Technical Support, per-journal Editorial (for manuscript submissions), Media Relations, Advertising, and Reprints & Permissions. The Editorial and Customer Service emails were Cloudflare-obfuscated in the HTML (data-cfemail/email-protection hex); decoded programmatically to jamams@jamanetwork.org (JAMA editorial office, labeled for manuscript submissions) and subscriptions@jamanetwork.com (Customer/Subscriber Service) respectively. A separate a fetch tool pass over the JAMA Instructions for Authors page found a 'Corrections' heading with the text 'Corrections to published articles will be published when errors are detected that significantly affect the scientific content or reader understanding of the published article,' but no heading called 'Research Misconduct' and no reporting route was found in the content retrieved (the page may have been truncated by the tool before any misconduct-reporting section)."
Elsevier - Cell Press,10,tail,B,generic_email,celleditor@cell.com,https://www.cell.com/cell/information-for-authors/journal-policies,"Readers concerned with potential issues with papers published at Cell Press should contact the relevant journal, detailing allegations and providing any supporting evidence.",403,source_read,True,False,"This 'Journal policies' page (for the flagship journal Cell) is explicit that readers/strangers may raise a concern, but it names no specific address on the page itself -- it says to 'contact the relevant journal.' The journal's own Contact page (cell.com/cell/contact, found via search-engine index snippet) gives the general editorial email 'celleditor@cell.com' (also used for presubmission and submitted-paper inquiries, i.e. not a misconduct-dedicated address). Cell Press's separate 'editorial ethics' page (cell.com/editorial-ethics) describes internal investigation procedure but gives no contact route at all."
European Centre for Disease Prevention and Control,3,tail,A,dedicated_email,eurosurveillance@ecdc.europa.eu,https://www.eurosurveillance.org/editorial-policy,All appeals and complaints should be sent the editorial office (eurosurveillance@ecdc.europa.eu).,200,source_read,False,False,
IEEE: Institute of Electrical and Electronics Engineers,3,tail,A,dedicated_email,pub-ethics@ieee.org (plus an anonymous IEEE Ethics Reporting line linked from IEEE's own site),https://www.ieee.org/publications/rights/Investigating-misconduct,"When complaints regarding an article's integrity are received, either via email at pub-ethics@ieee.org or the anonymous ethics reporting line","202 (direct curl and fetch tool both blocked by an AWS WAF JavaScript challenge, 'x-amzn-waf-action: challenge', empty body)",snippet_only,True,False,"Primary quote is from a search-result snippet, not a page I read directly, because the load-bearing IEEE.org page is bot-walled. Corroborating link ('IEEE Ethics Reporting') was independently verified by direct fetch of https://journals.ieeeauthorcenter.ieee.org/become-an-ieee-journal-author/publishing-ethics/ (HTTP 200), which is on IEEE's own domain."
BioMed Central (BMC),2,tail,A,dedicated_email,ethics.reporting@springernature.com,https://www.biomedcentral.com/getpublished/editorial-policies,If no publishing contact is identified send the query to ethics.reporting@springernature.com,200,source_read,False,False,"This second probe used a differently worded search ('BMC journals corrections retractions matters arising how to raise a concern') and independently landed on the same URL as row 3, https://www.biomedcentral.com/getpublished/editorial-policies -- same page, not a different one. A mirror of the identical content was also found at https://link.springer.com/brands/bmc/editorial-policies (checked, HTTP 200), confirming this is BMC's one canonical editorial-policies document rather than a second distinct page."
American Society of Gene & Cell Therapy,1,tail,B,editor_no_address,,https://www.cell.com/molecular-therapy-family/molecular-therapy/authors,"Readers concerned with potential issues with papers published at Cell Press should contact the relevant journal, detailing allegations and providing any supporting evidence.","403 (curl, multiple User-Agents and a Google-referer attempt); 403 (a fetch tool); a public translation proxy fetch of the same URL triggered an Elsevier single-sign-on redirect loop and never returned page content",snippet_only,True,False,"This quote is taken from a web-search snippet reproducing text from the 'Information for authors: Molecular Therapy' page (near-identical wording appeared across two independent search queries), not read directly from the page, since every direct and fetch-tool attempt on cell.com for this journal was blocked. No address is given in the quoted text itself."
American Speech-Language-Hearing Association,1,tail,B,generic_email,journals@asha.org,https://academy.pubs.asha.org/asha-journals-author-resource-center/manuscript-preparation/authorship-and-publication-ethics/,"If an editor suspects scientific misconduct, the editor will bring the concern to the editor in chief, who will then consult with the Journals Board.",200,source_read,False,False,"This ASHA Journals Academy 'Authorship and Publication Ethics' page (read directly, HTTP 200) describes only the internal editor-to-Journals-Board misconduct procedure and gives no contact route for an outside reader anywhere on the page. The nearest usable route is the general Journals contact on pubs.asha.org/pubs/contact ('General questions: journals@asha.org'; separate per-journal addresses like jslhr@asha.org are labelled for peer-review/submission queries, not misconduct reports). ASHA's Ethics Office (ethics@asha.org) handles complaints against the professional Code of Ethics for ASHA members/certificate holders -- a different system, not a route for a reader's concern about a published article."
Association for Computing Machinery (ACM),1,tail,A,dedicated_form,https://www.acm.org/publications/policies/publications-violation,https://www.acm.org/publications/policies/publications-violation,If you believe one or more of ACM's Publications Policies have been violated and you have credible evidence of such violation(s),403,snippet_only,True,False,"Page could not be rendered directly by either method; quote is taken from web-search snippets of this page's own text. The page's own title, 'Report a Potential Publications Violation', and search-confirmed link to a confidential submission form at services.acm.org/policy_violations/policy.cfm corroborate a dedicated, non-generic reporting route distinct from ACM's general contact channels."
Federation of American Societies for Experimental Biology,1,tail,A,dedicated_email,journals@faseb.org,https://www.faseb.org/journals-and-news/ethics,Have an ethical concern? Submit your concern,200,source_read,False,False,"The mailing address itself (journals@faseb.org) is FASEB's general journals editorial-office address, but on this page it is presented as a specifically labelled call-to-action for ethical concerns, so it is counted as a dedicated route."
"International Scientific Information, Inc",1,tail,B,generic_email,danielle.benz@isi-science.com,https://medscimonit.com/contactUs,Danielle Benz (Managing Editor) danielle.benz@isi-science.com,200,source_read,False,False,"No page on medscimonit.com names a dedicated research-integrity, publication-ethics, or post-publication-concerns contact or form. The Contact Us page lists a phone number and a staff directory (Editor-in-Chief, Managing Editor, Production, Language Editors, an 'Ethics and Publication Policy Advisor' named with no email of her own) with the Managing Editor's personal email as the only address plausibly reachable by a stranger; treated as a generic named-editor contact rather than a dedicated ethics channel. The Instructions for Authors page mentions image/data concerns leading to rejection or retraction but gives no complaint route, and the errata/retraction page is only a list of past notices with no submission channel."
Radiological Society of North America,1,tail,A,dedicated_email,radiology@rsna.org,https://pubs.rsna.org/page/policies,"suspect that an instance of scientific misconduct, plagiarism, duplicate (redundant) publication, or unreported conflict of interest has occurred should write to the appropriate Editorial Office.","403 (curl, multiple attempts); 403 (a fetch tool); 200 (a public translation proxy fetch of the same URL)",source_read,True,False,"The Radiology (flagship journal) Editorial Office address was Cloudflare-obfuscated in the HTML (data-cfemail hex under the '#journals' section); decoded programmatically to radiology@rsna.org. Each journal in the RSNA suite (Radiology, Radiology: Artificial Intelligence, Radiology: Cardiothoracic Imaging, etc.) has its own analogous Editorial Office address listed in the same section."
